accountsservice 23.13.9-2.1
swaybg 1.2.1-1.1
swaylock-effects-git r470.496059a-1
swaylock-fancy-git r237.f4ebb82-1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
texinfo 7.2-1.1
thunar-archive-plugin 0.6.0-1.1
thunar-dropbox 0.3.2-1
thunar-media-tags-plugin 0.6.0-1.1
thunar-shares-plugin 1:0.5.0-1.1
thunar-volman 4.20.0-2.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fantasque-nerd 3.4.0-2
ttf-fira-sans 1:4.301-2
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
tumbler 4.20.1-1.1
ufw 0.36.2-7
unrar 1:7.2.3-1.1
unzip 6.0-23.1
upower 1.91.0-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbmuxd 1.1.1-4.1
usbutils 019-1.1
vim 9.1.2077-1.1
vlc-plugins-all 3.0.21-32.1
vpl-gpu-rt 25.3.4-1.1
vulkan-intel 1:25.3.4-2
waybar 0.14.0-6.2
webp-pixbuf-loader 0.2.7-1.1
wget 1.25.0-3.1
which 2.23-1.1
wireless-regdb 2025.10.07-1
wireplumber 0.5.13-1.1
wl-clipboard 1:2.2.1-3.1
wlogout 1.2.2-0
wob 0.16-2.1
woff2-font-awesome 7.1.0-1
wofi 1.5.3-1.1
wpa_supplicant 2:2.11-5.1
xdg-desktop-portal-gnome 49.0-1.1
xdg-user-dirs 0.19-2.1
xf86-input-libinput 1.5.0-1.1
xfsprogs 6.18.0-1.1
xl2tpd 1.3.19-1.1
xorg-server 21.1.21-1.1
xorg-xdpyinfo 1.4.0-1.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.7-1.1
xorg-xrandr 1.5.3-1.1
xorg-xwayland 24.1.9-1.1
xwayland-satellite 0.8-1
yay 12.5.7-1
